name,tags,zeit_minuten,portionen,zutaten,schritte,bild,tipps,original_url,original_quelle
Garlic Kimchi Fried Rice,vegan; asiatisch; bowl; mittel,35,2,"200 g Tofu | 1 TL Kimchi-Saft | 1 TL Gochujang | 1 TL Sojasauce | 0.5 TL Ahornsirup | 1 kleine Knoblauchzehe (gerieben) | etwas Avocado- oder Olivenöl | 400 g gekochter Mittelkornreis (vom Vortag) | 4 Knoblauchzehen | 5 cm Ingwer | 4 EL Frühlingszwiebeln | 100 g Kimchi | 2 EL Sojasauce | 1 EL Kimchi-Saft | 1 TL Reisessig | 2 TL Sesamöl | 1.5 TL brauner Zucker | 50 g TK-Erbsen | 2 EL vegane Mayo | 1 EL Sriracha | zum Servieren: Gurke (in Streifen), Koriander, Limette, Sesam","Tofu in kleine Würfel schneiden und mit Sojasauce, Kimchi-Saft, Gochujang, Ahornsirup, geriebenem Knoblauch und etwas Öl marinieren. | In der Heißluftfritteuse bei 200 °C 12-15 Min knusprig backen oder in einer Pfanne anbraten. | In einer großen Pfanne bei mittlerer Hitze etwas Öl erhitzen. Knoblauch (gepresst), Ingwer (gerieben) und Frühlingszwiebeln 1 Min anbraten. | Die Hälfte des Kimchi (50 g) zugeben und 2 Min braten. | Reis zugeben (bei Bedarf mehr Öl) und 7 Min braten, bis er anfängt knusprig zu werden. | Für die Sauce Sojasauce, Kimchi-Saft, Reisessig, Sesamöl und braunen Zucker mischen. Über den Reis geben und 1-2 Min weiter braten. | TK-Erbsen, restlichen Kimchi und Tofu zugeben und nur kurz erwärmen. | Für die Spicy Mayo Mayo und Sriracha verrühren. | Mit Spicy Mayo, Gurkenstreifen, Koriander, Limette und Sesam servieren.",kimchi-fried-rice.jpg,"Alter, kalter Reis vom Vortag funktioniert am besten, weil er knuspriger wird.",,Instagram
Lachs im Blätterteig,mit-fisch; gebacken; für-gäste; lachs,45,2,"400 g Lachsfilet ohne Haut | 1 Rolle Blätterteig (ca. 275 g) | 150 g junger Blattspinat | 1 kleine Zwiebel | 2 Knoblauchzehen | 100 g Crème fraîche | 40 g Parmesan, frisch gerieben | 1 Eigelb zum Bestreichen | 1 EL Butter | 1 EL heller Sesam | Salz und Pfeffer | nach Wahl: frischer Dill oder Petersilie","Den Ofen auf 180 °C Umluft vorheizen und ein Blech mit Backpapier auslegen. | Zwiebel und Knoblauch fein würfeln und in einer Pfanne mit der zerlassenen Butter bei mittlerer Hitze andünsten, bis sie weich und glasig sind. | Den Spinat portionsweise dazugeben und unter Rühren zusammenfallen lassen. | Pfanne vom Herd ziehen, Crème fraîche und Parmesan einrühren und mit Salz, Pfeffer und Kräutern kräftig abschmecken. Etwas abkühlen lassen. | Den Blätterteig auf der Arbeitsfläche ausbreiten und den Lachs mittig auflegen. Die abgekühlte Spinatmasse als gleichmäßige Schicht auf dem Lachs verteilen. | Die Teigseiten über den Lachs einschlagen und an den Enden gut verschließen. Vorsichtig wenden und mit der Naht nach unten auf das Blech setzen. | Die Oberseite mit einem scharfen Messer leicht einritzen, mit verquirltem Eigelb bestreichen und mit Sesam bestreuen. | Etwa 30 Minuten goldbraun backen. | Vor dem Anschneiden 5 Minuten ruhen lassen, dann in Scheiben servieren.",lachs-blaetterteig.jpg,Passt zu einem grünen Salat oder Ofengemüse. Schmeckt auch am nächsten Tag noch lauwarm oder kalt.,,
Halloumi-Spargel-Carbonara,vegetarisch; pasta; spargel; halloumi; schnell,25,2,"200 g Spaghetti | 4 Eier | 50 g Parmesan, frisch gerieben | 1 Bund grüner Spargel | 1 Halloumi (ca. 200 g) | 1 TL Honig | 1 TL Crispy Chili Öl | Salz und Pfeffer","Spaghetti in reichlich Salzwasser al dente kochen und eine Tasse Nudelwasser abnehmen, bevor du abgießt. | Den Halloumi in Würfel schneiden und in einer trockenen Pfanne goldbraun anbraten. | Honig und Crispy Chili Öl zugeben, kurz schwenken bis die Würfel glasiert sind, dann beiseitestellen. | Den Spargel in mundgerechte Stücke schneiden und in derselben Pfanne kurz anrösten, sodass er bissfest bleibt. | In einer Schüssel die Eier mit dem Parmesan, Salz, Pfeffer und ein paar Esslöffeln Nudelwasser zu einer cremigen Masse verrühren. | Die abgegossenen Spaghetti kurz abkühlen lassen, dann unter die Ei-Käse-Mischung heben, sodass eine cremige Sauce entsteht. | Spargel und Halloumi unterheben und alles gut vermengen. | Auf Teller verteilen und mit etwas extra Parmesan und einem Tropfen Chili Öl servieren.",halloumi-spargel-carbonara.jpg,"Damit das Ei nicht stockt, die Pfanne unbedingt vom Herd nehmen, bevor die Eimischung dazukommt.",,
Vegetarische Lasagne mit Soja-Hack,vegetarisch; pasta; gebacken; für-gäste,60,2,"6 Lasagneplatten | 120 g Soja-Hack | 1 kleine Zucchini | 3 mittlere Karotten | 1 Zwiebel | 2 Knoblauchzehen | 400 g passierte Tomaten | 150 ml Gemüsebrühe | 150 g Crème fraîche | 100 g Käse, gerieben | 2 EL Tomatenmark | 1 EL Olivenöl | 1 TL italienische Kräuter | Salz und Pfeffer","Den Ofen auf 180 °C Ober-/Unterhitze vorheizen. | Das Soja-Hack nach Packungsanweisung in Wasser oder Brühe einweichen und gut ausdrücken. | Zwiebel und Knoblauch hacken und im Olivenöl in einer Pfanne anbraten. | Zucchini würfeln und Karotten fein raspeln oder klein schneiden, dann mit in die Pfanne geben und kurz mitbraten. | Das Soja-Hack zugeben, einige Minuten rösten und das Tomatenmark dazugeben, kurz mitrösten. | Mit passierten Tomaten und Brühe ablöschen, mit Kräutern, Salz und Pfeffer würzen und 10 Minuten leicht köcheln lassen. | Die Crème fraîche in einer Schüssel glatt rühren und leicht salzen. | In einer Auflaufform abwechselnd Tomatensauce, Lasagneplatten und Crème fraîche schichten, mit Sauce abschließen. | Mit dem geriebenen Käse bestreuen und 30 bis 35 Minuten goldbraun backen. | Vor dem Servieren 10 Minuten ruhen lassen, damit sich die Schichten setzen können.",lasagne-sojahack.jpg,Schmeckt aufgewärmt am nächsten Tag oft sogar noch besser.,,
Lemon Orzo mit Lachs und Zucchini,mit-fisch; pasta; onepot; lachs; schnell,25,2,250 g Lachsfilet | 140 g Orzo | 1 kleine Zucchini | 1 Schalotte | 1 Bio-Zitrone | 300 ml Gemüsebrühe | 2 EL Frischkäse | 1 EL Olivenöl | frischer Dill | Salz und Pfeffer,"Den Lachs mit Salz und Pfeffer würzen und in einer Pfanne mit Olivenöl von beiden Seiten kurz scharf anbraten, dann herausnehmen und beiseitestellen. | Die Schalotte fein würfeln und die Zucchini in kleine Stücke schneiden. Beides in der gleichen Pfanne andünsten. | Den Orzo zufügen und kurz mitrösten, bis er leicht glasig wird. | Mit der Gemüsebrühe ablöschen und unter gelegentlichem Rühren weichkochen, bis der Orzo gar und die Flüssigkeit fast aufgenommen ist. | Frischkäse einrühren, dazu den Abrieb der Zitrone und einen guten Schuss Zitronensaft. Alles cremig verrühren und mit Salz und Pfeffer abschmecken. | Den Lachs zurück in die Pfanne legen und kurz fertig garen lassen. | Mit frisch gehacktem Dill bestreut servieren.",lemon-orzo-lachs.jpg,Funktioniert auch wunderbar mit Garnelen statt Lachs.,,
Gefüllte Auberginen mit Hummus und Halloumi,vegetarisch; gebacken; mediterran; halloumi; für-gäste,45,2,"2 mittelgroße Auberginen | 200 g Halloumi | 0.5 Salatgurke | 1 Dose Kichererbsen (240 g Abtropfgewicht) | 1 Knoblauchzehe | 0.5 Zitrone (Saft) | 2 EL Joghurt | 2 EL Olivenöl plus 3 EL für den Hummus | 2 EL Tahini | 1 TL Paprikapulver | 1 TL Kreuzkümmel (optional) | Salz und Pfeffer | nach Wahl: Dill, Minze, Petersilie, Granatapfelkerne, Sesam","Den Ofen auf 200 °C Umluft vorheizen. | Die Auberginen längs halbieren und das Fruchtfleisch rautenförmig einritzen, ohne die Schale zu durchstoßen. Mit 2 EL Olivenöl bestreichen, mit Salz, Pfeffer, Paprikapulver und optional Kreuzkümmel würzen. | Mit der Schnittfläche nach oben auf ein Blech setzen und 30 bis 35 Minuten backen, bis das Fruchtfleisch weich und goldbraun ist. | Für den Hummus die Kichererbsen abtropfen lassen und mit Tahini, Knoblauch, Zitronensaft, 3 EL Olivenöl und einer Prise Salz fein pürieren. Bei Bedarf esslöffelweise Wasser dazugeben, bis die Konsistenz cremig wird. | Die Gurke fein würfeln oder raspeln und mit dem Joghurt vermengen. Mit Salz und nach Wunsch frisch gehackten Kräutern abschmecken. | Den Halloumi in Scheiben schneiden und in einer Pfanne mit wenig Öl von beiden Seiten goldbraun anbraten. | Die gebackenen Auberginen mit einem Löffel leicht eindrücken, großzügig mit Hummus bedecken, den Halloumi auflegen und mit dem Gurken-Joghurt-Topping sowie nach Wahl Granatapfelkernen, Sesam oder Kräutern garnieren.",auberginen-hummus-halloumi.jpg,"Den Hummus kannst du auch am Vortag vorbereiten, er schmeckt durchgezogen noch besser.",,
Orzo Onepot Lasagne,vegetarisch; pasta; onepot; schnell,30,2,"150 g Orzo | 250 g vegetarisches Hack | 1 Karotte | 1 Zwiebel | 400 g stückige Tomaten | 500 ml Gemüsebrühe | 3 EL Gouda, gerieben | 2 TL Tomatenmark | 1 EL Olivenöl | Salz und Pfeffer | zum Servieren: Schmand und frisches Basilikum","Die Zwiebel fein würfeln und in einer großen Pfanne im Olivenöl andünsten. | Die Karotte ebenfalls würfeln und 2 bis 3 Minuten mitbraten, bis sie leicht weich wird. | Tomatenmark einrühren und kurz mit anrösten, damit es sein Aroma entfaltet. | Das vegetarische Hack dazugeben und 5 bis 6 Minuten unter Rühren krümelig anbraten. | Stückige Tomaten, Gemüsebrühe und Orzo zugeben und alles gut vermischen. | Ohne Deckel bei mittlerer Hitze 15 bis 18 Minuten köcheln lassen und gelegentlich umrühren, bis der Orzo gar und die Flüssigkeit fast aufgenommen ist. | Den geriebenen Gouda unterheben und mit Salz und Pfeffer abschmecken. | Auf Teller verteilen und mit einem Klecks Schmand und frischen Basilikumblättern servieren.",orzo-onepot-lasagne.jpg,"Schmeckt am nächsten Tag noch besser, weil der Orzo die Aromen aufnimmt.",,
Garnelen-Avocado-Salat,mit-fisch; salat; garnelen; schnell; mediterran,15,2,220 g gekochte Garnelen | 2 Avocados | 220 g Cherrytomaten | 0.5 Salatgurke | 1 kleine rote Zwiebel | 1 Knoblauchzehe | 3-4 Stiele Petersilie | 2 EL Weißweinessig | 1 EL Olivenöl | 1.5 TL Dijon-Senf | 1.5 TL Honig | Salz und Pfeffer,"Die Garnelen in eine große Schüssel geben. | Die rote Zwiebel in feine Ringe schneiden, Knoblauch und Petersilie fein hacken. | Die Gurke längs halbieren und in dünne Halbmonde schneiden. | Die Avocados würfeln und die Cherrytomaten halbieren. | Zwiebelringe, Knoblauch, Petersilie, Gurke, Avocado und Tomaten zu den Garnelen geben. | In einer kleinen Schüssel das Dressing aus Olivenöl, Weißweinessig, Honig und Dijon-Senf glatt rühren. | Das Dressing über den Salat geben, alles vorsichtig vermengen, damit die Avocado nicht zerfällt, und mit Salz und Pfeffer abschmecken.",garnelen-avocado-salat.jpg,Mit etwas Baguette wird daraus eine leichte Hauptmahlzeit. Schmeckt am besten frisch zubereitet.,,
Spinat-Feta-Gnocchi,vegetarisch; gnocchi; schnell; alltag,25,2,"480 g Gnocchi (vorgegart) | 240 g Champignons | 240 g Blattspinat (TK) | 190 g Feta | 95 g saure Sahne | 2 Zwiebeln | 1 Knoblauchzehe | 190 ml Gemüsebrühe | 4 TL Olivenöl | 2 TL Oregano, getrocknet | Salz und Pfeffer","Die Zwiebeln und den Knoblauch fein hacken, die Champignons putzen und vierteln und den Feta in Würfel schneiden. | Das Olivenöl in einer großen Pfanne bei mittlerer Hitze erhitzen und die Gnocchi rundherum goldbraun anbraten. Anschließend aus der Pfanne nehmen. | Etwas Öl in derselben Pfanne erhitzen und Zwiebeln, Knoblauch und Champignons anbraten, bis die Zwiebeln glasig sind. | Den gefrorenen Spinat und die Gemüsebrühe zugeben und garen, bis der Spinat aufgetaut und der Großteil der Flüssigkeit eingekocht ist. | Saure Sahne und Oregano unterrühren und 2 bis 3 Minuten köcheln lassen. | Die Hitze ausschalten, Feta und Gnocchi zurück in die Pfanne geben und mit der Resthitze kurz erwärmen. | Mit Salz und Pfeffer abschmecken und servieren.",spinat-feta-gnocchi.jpg,"Funktioniert auch mit frischem Spinat. Dafür einfach zum Schluss eine große Handvoll dazugeben, bis er zusammenfällt.",,
Spargel-Lachs-Flammkuchen,mit-fisch; gebacken; flammkuchen; spargel; lachs; schnell,20,2,"1 Flammkuchenteig | 150 g Lachs | 0.5 Bund grüner Spargel | 0.5 rote Zwiebel | 100 g Crème fraîche | 40 g Käse, gerieben | Salz und Pfeffer | italienische Kräuter oder Kräuter nach Wahl","Den Ofen auf 220 °C vorheizen. | Den Flammkuchenteig auf einem mit Backpapier ausgelegten Blech ausrollen und gleichmäßig mit Crème fraîche bestreichen. | Die Zwiebel in feine Streifen schneiden und den Spargel in mundgerechte Stücke. | Den Teig mit Zwiebelstreifen, Spargelstücken und etwas geriebenem Käse belegen. | Mit Salz, Pfeffer und Kräutern würzen. | Im Ofen 10 bis 12 Minuten backen, bis der Rand goldbraun und knusprig ist. | Den Lachs in Stücke zupfen und auf den fast fertigen Flammkuchen geben, kurz warm werden lassen. Wenn du den Lachs gut durchgegart magst, kannst du ihn auch von Anfang an mitbacken. | In Stücke schneiden und sofort servieren.",spargel-lachs-flammkuchen.jpg,Lässt sich mit Räucherlachs nach dem Backen statt rohem Lachs noch entspannter zubereiten.,,
Cremige Garnelen-Orzo-Pfanne,mit-fisch; pasta; onepot; garnelen; mediterran,30,2,"300 g Garnelen | 250 g Orzo | 340 g Cherrytomaten | 2 Handvoll Blattspinat | 1 gelbe Zwiebel | 1 Knoblauchzehe | 3 EL getrocknete Tomaten | 240 ml Sahne oder Kokosmilch | 720 ml Gemüsebrühe | 25 g Parmesan, gerieben | 2 EL Olivenöl | 1 EL Butter | 0.5 TL Chiliflocken | 1 TL Salz","Etwas Olivenöl in einer großen Pfanne bei mittlerer Hitze erhitzen. | Die Garnelen mit Salz und Chiliflocken würzen. Knoblauch fein hacken. Butter in die Pfanne geben und die Garnelen mit dem Knoblauch von jeder Seite 2 bis 3 Minuten goldbraun anbraten, bis sie fast durchgegart sind. Anschließend herausnehmen und beiseitestellen. | Noch etwas Olivenöl in die Pfanne geben und die gewürfelte Zwiebel 2 bis 3 Minuten anschwitzen. | Cherrytomaten zugeben und etwa 5 Minuten garen, bis sie aufplatzen und weich werden. Getrocknete Tomaten unterrühren und die Cherrytomaten leicht andrücken. | Orzo, Sahne und Brühe in die Pfanne geben und alles gut verrühren. | Den Parmesan einrühren und etwa 10 Minuten kochen lassen, bis der Orzo gar ist und die Flüssigkeit aufgenommen wurde. Dabei regelmäßig umrühren. | Wenn fast keine Flüssigkeit mehr da ist, den Spinat unterheben und zusammenfallen lassen. | Die Garnelen zurück in die Pfanne geben, kurz mit erwärmen und mit extra Parmesan servieren.",garnelen-orzo-pfanne.jpg,Schmeckt auch hervorragend mit Kokosmilch statt Sahne für eine leicht asiatische Note.,,
Salat mit Burrata und grünem Spargel,vegetarisch; salat; spargel; für-gäste; mediterran,20,2,"1 Burrata | 250 g grüner Spargel | 2 Handvoll Rucola oder gemischter Blattsalat | 150 g Kirschtomaten | 1 Zitrone | 1 kleine Handvoll geröstete Pinienkerne oder Pistazien | 3 EL Olivenöl plus etwas zum Anbraten | 1 TL Honig oder Ahornsirup | Salz und Pfeffer | optional: etwas Parmesan, frisches Basilikum oder Minze","Die holzigen Enden vom Spargel abschneiden und die Stangen in 3 bis 4 cm lange Stücke schneiden. | Etwas Olivenöl in einer Pfanne erhitzen und den Spargel 5 bis 7 Minuten anbraten, bis er leicht gebräunt, aber noch bissfest ist. Mit Salz, Pfeffer und etwas Zitronenabrieb würzen. | Für das Dressing 3 EL Olivenöl, 1 bis 2 EL Zitronensaft, Honig sowie eine Prise Salz und Pfeffer glatt verrühren. | Rucola und halbierte Kirschtomaten auf eine große Platte oder in eine Schüssel geben. | Den warmen Spargel darüber verteilen und die Burrata mittig daraufsetzen, leicht aufreißen. | Mit dem Dressing beträufeln und mit Pinienkernen oder Pistazien sowie optional Parmesanhobeln und frischen Kräutern garnieren.",burrata-spargel-salat.jpg,"Wenn der Spargel Saison hat, ist dieser Salat das schönste 20-Minuten-Sommer-Gericht.",,
Quinoa-Halloumi-Bowl,vegetarisch; bowl; gebacken; halloumi; mediterran,35,2,1 Halloumi (ca. 200 g) | 100 g Quinoa | 1 Aubergine | 1 Zucchini | 1 Paprika | 2 Tomaten | 0.5 Zitrone (Saft) | 2 EL Olivenöl | 2 TL Honig | etwas frischer Rosmarin | Salz und Pfeffer,"Den Ofen auf 180 °C Ober-/Unterhitze vorheizen. | Aubergine, Zucchini und Paprika in mundgerechte Würfel schneiden. | Aus Zitronensaft, Olivenöl, Honig, Salz und Pfeffer ein Dressing anrühren. | Das Gemüse in einer Schüssel mit der Hälfte des Dressings und gehacktem Rosmarin vermengen. | Das marinierte Gemüse auf ein Blech geben und 25 bis 30 Minuten rösten, bis es weich und an den Rändern leicht gebräunt ist. | Den Quinoa nach Packungsanweisung garen und mit einer Gabel auflockern. | Den Halloumi in Würfel oder Scheiben schneiden und in einer Pfanne ohne Öl von allen Seiten goldbraun anbraten. | Die Tomaten klein würfeln. | Quinoa, Ofengemüse, frische Tomatenwürfel und Halloumi in tiefen Schüsseln anrichten und mit dem restlichen Dressing beträufeln.",quinoa-halloumi-bowl.jpg,Schmeckt warm und kalt. Macht sich super als Meal Prep für die Mittagspause.,,
Garnelen-Pasta in Tomaten-Sahne-Sauce,mit-fisch; pasta; garnelen; mediterran,30,2,300 g Garnelen | 250 g Rigatoni | 400 ml passierte Tomaten | 200 ml Sahne | 1 Zwiebel | 1 Paprika | 2 Knoblauchzehen | 0.5 Zitrone (Saft) | 1 kleines Stück Butter | etwas Olivenöl | etwas Maisstärke | etwas Parmesan | etwas Petersilie | 1 TL Paprikapulver | 1 TL Chiliflocken | 1 TL getrocknete italienische Kräuter | 1 TL Salz | 1 TL Pfeffer,"Die aufgetauten Garnelen mit Zitronensaft, einem Schuss Olivenöl, Salz, Pfeffer, Paprikapulver, Chiliflocken und italienischen Kräutern marinieren und 10 Minuten ziehen lassen. | Die Garnelen leicht in etwas Maisstärke wenden und in einer heißen Pfanne pro Seite etwa 2 Minuten scharf anbraten, danach herausnehmen und beiseitestellen. | Die Butter in die Pfanne geben, Zwiebel und Paprika fein würfeln und den Knoblauch fein reiben oder pressen. Alles einige Minuten anbraten, bis das Gemüse weich ist. | Mit den passierten Tomaten und der Sahne ablöschen und die Sauce 5 bis 10 Minuten leicht einköcheln lassen, bis sie sämig wird. | Klein geschnittene Petersilie und etwas geriebenen Parmesan einrühren und mit Salz und Pfeffer abschmecken. | Parallel die Rigatoni nach Packungsanweisung al dente kochen und abgießen. | Garnelen und Nudeln in die Sauce geben, kurz schwenken und mit extra Parmesan und Petersilie heiß servieren.",garnelen-pasta.jpg,"Die Maisstärke macht die Garnelen besonders knusprig. Wer mag, kann zusätzlich einen Schuss Weißwein zur Sauce geben.",,
